Total Timestep (Training Duration),1000000
Number of Collisions,1477
Number of Collisions 100k,205
Number of Collisions 200k,387
