Total Timestep (Training Duration),1000000
Number of Collisions,1437
Number of Collisions 100k,180
Number of Collisions 200k,403
