Total Timestep (Training Duration),1000000
Number of Collisions,14758
Number of Collisions 100k,6937
Number of Collisions 200k,9011
