Total Timestep (Training Duration),500000
Number of Collisions,686
Number of Collisions 100k,191
Number of Collisions 200k,366
